cat,dd,val_districts_country,k_growth_coef,k_growth_coef_pct
Belarus (Počet),20190401,,,
Belarus (Počet),20190501,13,,
Belarus (Počet),20190601,,,
Belarus (Počet),20190701,3,,
Belarus (Počet),20190801,49,16.33333333,1533.33
Belarus (Počet),20190901,1,0.020408163,-97.96
Belarus (Počet),20191001,,,
Belarus (Počet),20191101,,,
Belarus (Počet),20191201,1,,
Belarus (Počet),20200101,,,
Belarus (Počet),20200201,,,
Belarus (Počet),20200301,,,
Belarus (Počet),20200401,,,
Belarus (Počet),20200501,,,
Belarus (Počet),20200601,,,
Belarus (Počet),20200701,3,,
Belarus (Počet),20200801,,,
Belarus (Počet),20200901,,,
Belarus (Počet),20201001,,,
Belarus (Počet),20201101,,,
Belarus (Počet),20201201,,,
Belarus (Počet),20210101,,,
Belarus (Počet),20210201,,,
Belarus (Počet),20210301,,,
Belarus (Počet),20210401,,,
Belarus (Počet),20210501,,,
Belarus (Počet),20210601,,,
Belarus (Počet),20210701,,,
Belarus (Počet),20210801,6,,
Belarus (Počet),20210901,,,
Belarus (Počet),20211001,,,
Belarus (Počet),20211101,,,
Belarus (Počet),20211201,,,
Belarus (Prenocovania),20170101,33,,
Belarus (Prenocovania),20170201,,,
Belarus (Prenocovania),20170301,,,
Belarus (Prenocovania),20170401,77,,
Belarus (Prenocovania),20170501,,,
Belarus (Prenocovania),20170601,,,
Belarus (Prenocovania),20170701,10,,
Belarus (Prenocovania),20170801,23,2.3,130
Belarus (Prenocovania),20170901,11,0.47826087,-52.17
Belarus (Prenocovania),20171001,,,
Belarus (Prenocovania),20171101,30,,
Belarus (Prenocovania),20171201,64,2.133333333,113.33
Belarus (Prenocovania),20180101,71,1.109375,10.94
Belarus (Prenocovania),20180201,28,0.394366197,-60.56
Belarus (Prenocovania),20180301,,,
Belarus (Prenocovania),20180401,6,,
Belarus (Prenocovania),20180501,1,0.166666667,-83.33
Belarus (Prenocovania),20180601,17,17,1600
Belarus (Prenocovania),20180701,15,0.882352941,-11.76
Belarus (Prenocovania),20180801,9,0.6,-40
Belarus (Prenocovania),20180901,52,5.777777778,477.78
Belarus (Prenocovania),20181001,,,
Belarus (Prenocovania),20181101,,,
Belarus (Prenocovania),20181201,5,,
Belarus (Prenocovania),20190101,,,
Belarus (Prenocovania),20190201,6,,
Belarus (Prenocovania),20190301,,,
Belarus (Prenocovania),20190401,,,
Belarus (Prenocovania),20190501,25,,
Belarus (Prenocovania),20190601,,,
Belarus (Prenocovania),20190701,15,,
Belarus (Prenocovania),20190801,125,8.333333333,733.33
Belarus (Prenocovania),20190901,2,0.016,-98.4
Belarus (Prenocovania),20191001,,,
Belarus (Prenocovania),20191101,,,
Belarus (Prenocovania),20191201,1,,
Belarus (Prenocovania),20200101,,,
Belarus (Prenocovania),20200201,,,
Belarus (Prenocovania),20200301,,,
Belarus (Prenocovania),20200401,,,
Belarus (Prenocovania),20200501,,,
Belarus (Prenocovania),20200601,,,
Belarus (Prenocovania),20200701,6,,
Belarus (Prenocovania),20200801,,,
Belarus (Prenocovania),20200901,,,
Belarus (Prenocovania),20201001,,,
Belarus (Prenocovania),20201101,,,
Belarus (Prenocovania),20201201,,,
Belarus (Prenocovania),20210101,,,
Belarus (Prenocovania),20210201,,,
Belarus (Prenocovania),20210301,,,
Belarus (Prenocovania),20210401,,,
Belarus (Prenocovania),20210501,,,
Belarus (Prenocovania),20210601,,,
Belarus (Prenocovania),20210701,,,
Belarus (Prenocovania),20210801,48,,
Belarus (Prenocovania),20210901,,,
Belarus (Prenocovania),20211001,,,
Belarus (Prenocovania),20211101,,,
Belarus (Prenocovania),20211201,,,
Belgium (Počet),20170101,6,,
Belgium (Počet),20170201,4,0.666666667,-33.33
Belgium (Počet),20170301,7,1.75,75
Belgium (Počet),20170401,9,1.285714286,28.57
Belgium (Počet),20170501,23,2.555555556,155.56
Belgium (Počet),20170601,22,0.956521739,-4.35
Belgium (Počet),20170701,81,3.681818182,268.18
Belgium (Počet),20170801,38,0.469135802,-53.09
Belgium (Počet),20170901,57,1.5,50
Belgium (Počet),20171001,45,0.789473684,-21.05
Belgium (Počet),20171101,7,0.155555556,-84.44
Belgium (Počet),20171201,,,
Belgium (Počet),20180101,,,
Belgium (Počet),20180201,4,,
Belgium (Počet),20180301,2,0.5,-50
Belgium (Počet),20180401,1,0.5,-50
Belgium (Počet),20180501,10,10,900
Belgium (Počet),20180601,28,2.8,180
Belgium (Počet),20180701,104,3.714285714,271.43
Belgium (Počet),20180801,103,0.990384615,-0.96
Belgium (Počet),20180901,49,0.475728155,-52.43
Belgium (Počet),20181001,10,0.204081633,-79.59
Belgium (Počet),20181101,4,0.4,-60
Belgium (Počet),20181201,5,1.25,25
Belgium (Počet),20190101,5,1,0
Belgium (Počet),20190201,1,0.2,-80
Belgium (Počet),20190301,3,3,200
Belgium (Počet),20190401,5,1.666666667,66.67
Belgium (Počet),20190501,4,0.8,-20
Belgium (Počet),20190601,25,6.25,525
Belgium (Počet),20190701,253,10.12,912
Belgium (Počet),20190801,184,0.727272727,-27.27
Belgium (Počet),20190901,31,0.168478261,-83.15
Belgium (Počet),20191001,7,0.225806452,-77.42
Belgium (Počet),20191101,1,0.142857143,-85.71
Belgium (Počet),20191201,4,4,300
Belgium (Počet),20200101,,,
Belgium (Počet),20200201,,,
Belgium (Počet),20200301,1,,
Belgium (Počet),20200401,,,
Belgium (Počet),20200501,,,
Belgium (Počet),20200601,,,
Belgium (Počet),20200701,31,,
Belgium (Počet),20200801,30,0.967741935,-3.23
Belgium (Počet),20200901,13,0.433333333,-56.67
Belgium (Počet),20201001,,,
Belgium (Počet),20201101,,,
Belgium (Počet),20201201,,,
Belgium (Počet),20210101,,,
Belgium (Počet),20210201,,,
Belgium (Počet),20210301,,,
Belgium (Počet),20210401,,,
Belgium (Počet),20210501,1,,
Belgium (Počet),20210601,1,1,0
Belgium (Počet),20210701,19,19,1800
Belgium (Počet),20210801,27,1.421052632,42.11
Belgium (Počet),20210901,6,0.222222222,-77.78
Belgium (Počet),20211001,,,
Belgium (Počet),20211101,1,,
Belgium (Počet),20211201,,,
Belgium (Prenocovania),20170101,9,,
Belgium (Prenocovania),20170201,7,0.777777778,-22.22
Belgium (Prenocovania),20170301,16,2.285714286,128.57
Belgium (Prenocovania),20170401,18,1.125,12.5
Belgium (Prenocovania),20170501,45,2.5,150
Belgium (Prenocovania),20170601,46,1.022222222,2.22
Belgium (Prenocovania),20170701,203,4.413043478,341.3
Belgium (Prenocovania),20170801,78,0.384236453,-61.58
Belgium (Prenocovania),20170901,100,1.282051282,28.21
Belgium (Prenocovania),20171001,213,2.13,113
Belgium (Prenocovania),20171101,13,0.061032864,-93.9
Belgium (Prenocovania),20171201,,,
Belgium (Prenocovania),20180101,,,
Belgium (Prenocovania),20180201,5,,
Belgium (Prenocovania),20180301,4,0.8,-20
Belgium (Prenocovania),20180401,1,0.25,-75
Belgium (Prenocovania),20180501,21,21,2000
